Disease,Description,Cause,Category,Severity,Disease_Progression,Common_Complications,Clinical_Management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Usually self-limited but may worsen in vulnerable patients,Neurological complications,Early diagnosis improves prognosis
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Progressive organ involvement over time,Cardiac complications,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Rapid acute progression if untreated,Cardiac complications,Hospitalization may be needed in severe cases
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Usually self-limited but may worsen in vulnerable patients,Sepsis,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Gradual progression with chronic manifestations,Cardiac complications,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,Critical,Usually self-limited but may worsen in vulnerable patients,Respiratory failure,Medication and lifestyle management
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Critical,Progressive organ involvement over time,Kidney failure,Early diagnosis improves prognosis
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Progressive organ involvement over time,Kidney failure,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,Medium,Progressive organ involvement over time,Neurological complications,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,Low,Gradual progression with chronic manifestations,Organ damage,Requires periodic follow-up
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,High,Progressive organ involvement over time,Respiratory failure,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Progressive organ involvement over time,Sepsis,Early diagnosis improves prognosis
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Early mild symptoms progressing to severe complications,Sepsis,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Early mild symptoms progressing to severe complications,Cardiac complications,Hospitalization may be needed in severe cases
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Progressive organ involvement over time,Cardiac complications,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Usually self-limited but may worsen in vulnerable patients,Organ damage,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Early mild symptoms progressing to severe complications,Cardiac complications,Early diagnosis improves prognosis
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Critical,Rapid acute progression if untreated,Organ damage,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Early mild symptoms progressing to severe complications,Kidney failure,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Progressive organ involvement over time,Respiratory failure,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Gradual progression with chronic manifestations,Neurological complications,Requires periodic follow-up
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Critical,Early mild symptoms progressing to severe complications,Respiratory failure,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Early mild symptoms progressing to severe complications,Secondary infection,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Early mild symptoms progressing to severe complications,Cardiac complications,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Usually self-limited but may worsen in vulnerable patients,Organ damage,Requires periodic follow-up
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Early mild symptoms progressing to severe complications,Sepsis,Early diagnosis improves prognosis
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,High,Progressive organ involvement over time,Sepsis,Requires periodic follow-up
Kidney Disease,Renal impairment,Multiple Factors,Renal,Low,Rapid acute progression if untreated,Neurological complications,Medication and lifestyle management
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Rapid acute progression if untreated,Cardiac complications,Hospitalization may be needed in severe cases
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Medium,Usually self-limited but may worsen in vulnerable patients,Respiratory failure,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Progressive organ involvement over time,Kidney failure,Requires periodic follow-up
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Rapid acute progression if untreated,Secondary infection,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Usually self-limited but may worsen in vulnerable patients,Neurological complications,Requires periodic follow-up
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Rapid acute progression if untreated,Stroke risk,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Progressive organ involvement over time,Sepsis,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Progressive organ involvement over time,Respiratory failure,Early diagnosis improves prognosis
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Early mild symptoms progressing to severe complications,Stroke risk,Early diagnosis improves prognosis
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Low,Rapid acute progression if untreated,Kidney failure,Hospitalization may be needed in severe cases
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Early mild symptoms progressing to severe complications,Sepsis,Early diagnosis improves prognosis
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Respiratory failure,Medication and lifestyle management
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,High,Rapid acute progression if untreated,Neurological complications,Requires periodic follow-up
Flu,Viral infection,Virus,Respiratory,Medium,Progressive organ involvement over time,Organ damage,Requires periodic follow-up
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Progressive organ involvement over time,Cardiac complications,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Hospitalization may be needed in severe cases
Kidney Disease,Renal impairment,Multiple Factors,Renal,Low,Gradual progression with chronic manifestations,Secondary infection,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Rapid acute progression if untreated,Respiratory failure,Early diagnosis improves prognosis
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Medium,Usually self-limited but may worsen in vulnerable patients,Cardiac complications,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Rapid acute progression if untreated,Secondary infection,Supportive care and monitoring
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Critical,Early mild symptoms progressing to severe complications,Neurological complications,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Rapid acute progression if untreated,Stroke risk,Hospitalization may be needed in severe cases
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Medium,Early mild symptoms progressing to severe complications,Secondary infection,Supportive care and monitoring
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Low,Progressive organ involvement over time,Respiratory failure,Requires periodic follow-up
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Gradual progression with chronic manifestations,Secondary infection,Requires periodic follow-up
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Rapid acute progression if untreated,Organ damage,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Gradual progression with chronic manifestations,Respiratory failure,Requires periodic follow-up
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Low,Early mild symptoms progressing to severe complications,Kidney failure,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Early mild symptoms progressing to severe complications,Kidney failure,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Gradual progression with chronic manifestations,Kidney failure,Early diagnosis improves prognosis
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Progressive organ involvement over time,Sepsis,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Rapid acute progression if untreated,Sepsis,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Gradual progression with chronic manifestations,Secondary infection,Hospitalization may be needed in severe cases
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,High,Gradual progression with chronic manifestations,Kidney failure,Hospitalization may be needed in severe cases
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Medium,Early mild symptoms progressing to severe complications,Kidney failure,Hospitalization may be needed in severe cases
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Early mild symptoms progressing to severe complications,Organ damage,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Early mild symptoms progressing to severe complications,Cardiac complications,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Progressive organ involvement over time,Organ damage,Hospitalization may be needed in severe cases
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Early diagnosis improves prognosis
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Usually self-limited but may worsen in vulnerable patients,Sepsis,Requires periodic follow-up
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Early mild symptoms progressing to severe complications,Neurological complications,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Progressive organ involvement over time,Neurological complications,Medication and lifestyle management
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Medium,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Early diagnosis improves prognosis
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Medium,Rapid acute progression if untreated,Secondary infection,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Early mild symptoms progressing to severe complications,Neurological complications,Supportive care and monitoring
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Progressive organ involvement over time,Organ damage,Early diagnosis improves prognosis
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Usually self-limited but may worsen in vulnerable patients,Sepsis,Requires periodic follow-up
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Usually self-limited but may worsen in vulnerable patients,Sepsis,Early diagnosis improves prognosis
Kidney Disease,Renal impairment,Multiple Factors,Renal,Critical,Progressive organ involvement over time,Cardiac complications,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Usually self-limited but may worsen in vulnerable patients,Organ damage,Requires periodic follow-up
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Low,Rapid acute progression if untreated,Stroke risk,Hospitalization may be needed in severe cases
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Hospitalization may be needed in severe cases
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Medium,Early mild symptoms progressing to severe complications,Neurological complications,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Rapid acute progression if untreated,Sepsis,Requires periodic follow-up
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Progressive organ involvement over time,Sepsis,Hospitalization may be needed in severe cases
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Gradual progression with chronic manifestations,Respiratory failure,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Requires periodic follow-up
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Gradual progression with chronic manifestations,Stroke risk,Early diagnosis improves prognosis
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,High,Progressive organ involvement over time,Secondary infection,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Usually self-limited but may worsen in vulnerable patients,Cardiac complications,Medication and lifestyle management
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Low,Rapid acute progression if untreated,Respiratory failure,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Early mild symptoms progressing to severe complications,Kidney failure,Supportive care and monitoring
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Critical,Usually self-limited but may worsen in vulnerable patients,Cardiac complications,Early diagnosis improves prognosis
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Critical,Progressive organ involvement over time,Cardiac complications,Hospitalization may be needed in severe cases
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Medium,Progressive organ involvement over time,Organ damage,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,Critical,Rapid acute progression if untreated,Cardiac complications,Medication and lifestyle management
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Medium,Gradual progression with chronic manifestations,Respiratory failure,Supportive care and monitoring
Flu,Viral infection,Virus,Respiratory,Medium,Progressive organ involvement over time,Cardiac complications,Medication and lifestyle management
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Progressive organ involvement over time,Neurological complications,Hospitalization may be needed in severe cases
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Medium,Progressive organ involvement over time,Cardiac complications,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Rapid acute progression if untreated,Stroke risk,Medication and lifestyle management
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Neurological complications,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Progressive organ involvement over time,Secondary infection,Supportive care and monitoring
Flu,Viral infection,Virus,Respiratory,Critical,Rapid acute progression if untreated,Sepsis,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Gradual progression with chronic manifestations,Kidney failure,Requires periodic follow-up
Kidney Disease,Renal impairment,Multiple Factors,Renal,Low,Usually self-limited but may worsen in vulnerable patients,Sepsis,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,High,Usually self-limited but may worsen in vulnerable patients,Respiratory failure,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Requires periodic follow-up
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,High,Rapid acute progression if untreated,Organ damage,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Usually self-limited but may worsen in vulnerable patients,Respiratory failure,Early diagnosis improves prognosis
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Rapid acute progression if untreated,Kidney failure,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Rapid acute progression if untreated,Kidney failure,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Usually self-limited but may worsen in vulnerable patients,Organ damage,Requires periodic follow-up
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Rapid acute progression if untreated,Stroke risk,Requires periodic follow-up
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Rapid acute progression if untreated,Sepsis,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Progressive organ involvement over time,Cardiac complications,Requires periodic follow-up
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Critical,Gradual progression with chronic manifestations,Stroke risk,Hospitalization may be needed in severe cases
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Low,Rapid acute progression if untreated,Sepsis,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Progressive organ involvement over time,Neurological complications,Early diagnosis improves prognosis
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Progressive organ involvement over time,Cardiac complications,Requires periodic follow-up
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Medium,Usually self-limited but may worsen in vulnerable patients,Cardiac complications,Supportive care and monitoring
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Critical,Progressive organ involvement over time,Secondary infection,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Requires periodic follow-up
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Rapid acute progression if untreated,Kidney failure,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Usually self-limited but may worsen in vulnerable patients,Cardiac complications,Requires periodic follow-up
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Medium,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Low,Early mild symptoms progressing to severe complications,Sepsis,Supportive care and monitoring
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Sepsis,Requires periodic follow-up
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Rapid acute progression if untreated,Kidney failure,Medication and lifestyle management
Flu,Viral infection,Virus,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Sepsis,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Usually self-limited but may worsen in vulnerable patients,Sepsis,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Progressive organ involvement over time,Organ damage,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Progressive organ involvement over time,Secondary infection,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Rapid acute progression if untreated,Respiratory failure,Requires periodic follow-up
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,High,Early mild symptoms progressing to severe complications,Kidney failure,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Early mild symptoms progressing to severe complications,Neurological complications,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Gradual progression with chronic manifestations,Neurological complications,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Gradual progression with chronic manifestations,Sepsis,Requires periodic follow-up
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Low,Early mild symptoms progressing to severe complications,Sepsis,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Progressive organ involvement over time,Respiratory failure,Requires periodic follow-up
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Early mild symptoms progressing to severe complications,Cardiac complications,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Progressive organ involvement over time,Respiratory failure,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Progressive organ involvement over time,Cardiac complications,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Early mild symptoms progressing to severe complications,Cardiac complications,Requires periodic follow-up
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Rapid acute progression if untreated,Kidney failure,Requires periodic follow-up
Flu,Viral infection,Virus,Respiratory,Low,Rapid acute progression if untreated,Secondary infection,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Gradual progression with chronic manifestations,Organ damage,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,Critical,Gradual progression with chronic manifestations,Kidney failure,Requires periodic follow-up
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Progressive organ involvement over time,Sepsis,Requires periodic follow-up
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Medium,Early mild symptoms progressing to severe complications,Stroke risk,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Progressive organ involvement over time,Cardiac complications,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Progressive organ involvement over time,Neurological complications,Supportive care and monitoring
Flu,Viral infection,Virus,Respiratory,High,Early mild symptoms progressing to severe complications,Secondary infection,Supportive care and monitoring
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Low,Gradual progression with chronic manifestations,Neurological complications,Hospitalization may be needed in severe cases
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Early mild symptoms progressing to severe complications,Respiratory failure,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Progressive organ involvement over time,Respiratory failure,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Gradual progression with chronic manifestations,Respiratory failure,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Organ damage,Hospitalization may be needed in severe cases
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Early mild symptoms progressing to severe complications,Neurological complications,Hospitalization may be needed in severe cases
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Early mild symptoms progressing to severe complications,Stroke risk,Requires periodic follow-up
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Rapid acute progression if untreated,Sepsis,Hospitalization may be needed in severe cases
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Rapid acute progression if untreated,Stroke risk,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Rapid acute progression if untreated,Sepsis,Supportive care and monitoring
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Medium,Progressive organ involvement over time,Organ damage,Early diagnosis improves prognosis
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Progressive organ involvement over time,Stroke risk,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,Medium,Early mild symptoms progressing to severe complications,Cardiac complications,Medication and lifestyle management
Flu,Viral infection,Virus,Respiratory,Critical,Early mild symptoms progressing to severe complications,Respiratory failure,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Gradual progression with chronic manifestations,Organ damage,Early diagnosis improves prognosis
Kidney Disease,Renal impairment,Multiple Factors,Renal,Critical,Progressive organ involvement over time,Stroke risk,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Usually self-limited but may worsen in vulnerable patients,Organ damage,Requires periodic follow-up
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Rapid acute progression if untreated,Secondary infection,Requires periodic follow-up
Flu,Viral infection,Virus,Respiratory,Medium,Gradual progression with chronic manifestations,Sepsis,Hospitalization may be needed in severe cases
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Requires periodic follow-up
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,High,Early mild symptoms progressing to severe complications,Stroke risk,Supportive care and monitoring
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Progressive organ involvement over time,Organ damage,Medication and lifestyle management
Flu,Viral infection,Virus,Respiratory,Low,Rapid acute progression if untreated,Kidney failure,Medication and lifestyle management
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,High,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Organ damage,Medication and lifestyle management
Flu,Viral infection,Virus,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Sepsis,Supportive care and monitoring
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Critical,Usually self-limited but may worsen in vulnerable patients,Secondary infection,Requires periodic follow-up
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,High,Gradual progression with chronic manifestations,Sepsis,Early diagnosis improves prognosis
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Low,Gradual progression with chronic manifestations,Cardiac complications,Medication and lifestyle management
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Medium,Early mild symptoms progressing to severe complications,Neurological complications,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Progressive organ involvement over time,Organ damage,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Gradual progression with chronic manifestations,Cardiac complications,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Gradual progression with chronic manifestations,Secondary infection,Early diagnosis improves prognosis
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,High,Gradual progression with chronic manifestations,Respiratory failure,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,High,Gradual progression with chronic manifestations,Sepsis,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Gradual progression with chronic manifestations,Secondary infection,Medication and lifestyle management
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Medium,Usually self-limited but may worsen in vulnerable patients,Organ damage,Hospitalization may be needed in severe cases
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Early mild symptoms progressing to severe complications,Cardiac complications,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Usually self-limited but may worsen in vulnerable patients,Neurological complications,Requires periodic follow-up
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Low,Progressive organ involvement over time,Stroke risk,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Hospitalization may be needed in severe cases
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Progressive organ involvement over time,Respiratory failure,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Progressive organ involvement over time,Cardiac complications,Requires periodic follow-up
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Progressive organ involvement over time,Stroke risk,Supportive care and monitoring
