disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor,symptom_count
Gerd,27,1,48,44,4,3,Itching +  Skin Rash,"Chicken Pox, Hypothyroidism, Peptic Ulcer Diseae",1,7
Chronic Cholestasis,15,42,53,29,21,0,Skin Rash +  Chills,"Dengue, Drug Reaction, Paralysis (Brain Hemorrhage)",9,7
Drug Reaction,15,35,44,5,28,20,Fatigue +  Cough,"Bronchial Asthma, Hepatitis E, Heart Attack",3,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Fatigue +  High Fever,"Bronchial Asthma, Heart Attack, Hypertension",4,7
Aids,18,30,24,15,12,20,Skin Rash +  Chills,"Dengue, Fungal Infection, Pneumonia",1,7
Diabetes,11,46,39,24,17,1,Chills +  Fatigue,"Pneumonia, Dengue, Arthritis",4,7
Gastroenteritis,29,38,16,10,12,20,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Pneumonia, Aids",5,7
Bronchial Asthma,11,11,24,4,10,19,Muscle Weakness +  Stiff Neck,"Arthritis, (Vertigo) Paroymsal  Positional Vertigo, Hepatitis C",9,7
Hypertension,12,8,19,26,19,20,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Gastroenteritis, Hypoglycemia",4,7
Migraine,0,19,23,3,9,25,Vomiting +  Breathlessness,"Heart Attack, Bronchial Asthma, Diabetes",3,7
Cervical Spondylosis,1,43,34,13,22,20,Skin Rash +  Pus Filled Pimples,"Acne, Hepatitis C, Drug Reaction",5,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Chills +  Vomiting,"Typhoid, Alcoholic Hepatitis, Hepatitis D",6,7
Jaundice,15,42,21,46,13,31,Skin Rash +  Nodal Skin Eruptions,"Fungal Infection, Common Cold, Hepatitis A",5,7
Malaria,6,42,24,40,12,20,Chills +  Vomiting,"Tuberculosis, Common Cold, Migraine",1,7
Chicken Pox,15,35,21,24,13,12,Itching +  Skin Rash,"Fungal Infection, Migraine, Hypertension",1,7
Dengue,25,9,26,44,11,13,Vomiting +  Breathlessness,"Heart Attack, Acne, Cervical Spondylosis",5,7
Typhoid,6,42,21,19,12,20,Fatigue +  Cough,"Bronchial Asthma, Aids, Osteoarthristis",6,7
Hepatitis A,16,42,53,9,24,17,Chills +  Fatigue,"Pneumonia, Psoriasis, Typhoid",5,7
Hepatitis B,15,15,28,49,5,17,Itching +  Skin Rash,"Drug Reaction, Hepatitis B, (Vertigo) Paroymsal  Positional Vertigo",0,7
Hepatitis C,11,47,33,25,36,9,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Alcoholic Hepatitis, Allergy",6,7
Hepatitis D,16,42,21,49,5,20,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Gastroenteritis, Paralysis (Brain Hemorrhage)",9,7
Hepatitis E,16,42,21,19,37,5,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Urinary Tract Infection, Arthritis",0,7
Alcoholic Hepatitis,29,47,0,42,7,14,Chills +  Vomiting,"Typhoid, Heart Attack, Dengue",5,7
Tuberculosis,6,42,21,46,4,13,Fatigue +  Anxiety,"Hypoglycemia, Osteoarthristis, Migraine",4,7
Common Cold,8,9,21,8,13,12,Fatigue +  Weight Loss,"Diabetes , Pneumonia, Migraine",5,7
Pneumonia,6,15,14,19,2,26,Skin Rash +  Chills,"Dengue, Peptic Ulcer Diseae, Hepatitis E",5,7
Dimorphic Hemmorhoids(Piles),7,28,37,2,18,20,Skin Rash +  Chills,"Dengue, Dimorphic Hemmorhoids(Piles), Jaundice",0,7
Heart Attack,29,6,45,6,12,20,Fatigue +  Weight Gain,"Hypothyroidism, Hypertension , Allergy",6,7
Varicose Veins,11,12,8,30,33,28,Skin Rash +  Chills,"Dengue, Fungal Infection, Hypoglycemia",0,7
Hypothyroidism,11,45,12,27,20,8,Itching +  Skin Rash,"Drug Reaction, Diabetes , Hepatitis C",6,7
Hyperthyroidism,11,24,52,34,30,7,Fatigue +  Weight Gain,"Hypothyroidism, Hepatitis E, Psoriasis",8,7
Hypoglycemia,29,15,2,40,12,20,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Chicken Pox, Hypertension",0,7
Osteoarthristis,16,26,27,20,31,22,Chills +  Vomiting,"Tuberculosis, Hyperthyroidism, Diabetes",3,7
Arthritis,19,36,46,28,25,20,Mood Swings +  Weight Loss,"Hyperthyroidism, Arthritis, Malaria",9,7
(Vertigo) Paroymsal  Positional Vertigo,29,17,33,38,22,29,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Dimorphic Hemmorhoids(Piles), Bronchial Asthma",8,7
Acne,25,31,3,35,12,20,Itching +  Vomiting,"Chronic Cholestasis, Migraine, Acne",1,7
Urinary Tract Infection,4,4,22,7,12,20,Chills +  Cough,"Pneumonia, (Vertigo) Paroymsal  Positional Vertigo, Paralysis (Brain Hemorrhage)",5,7
Psoriasis,25,20,42,36,27,15,Vomiting +  Fatigue,"Tuberculosis, Acne, Hypoglycemia",3,7
Impetigo,25,18,4,33,35,20,Itching +  Vomiting,"Jaundice, Hypoglycemia, Urinary Tract Infection",6,7
Fungal Infection,15,35,35,11,12,20,Muscle Wasting +  Patches In Throat,"Aids, Paralysis (Brain Hemorrhage), Dimorphic Hemmorhoids(Piles)",4,7
Allergy,8,33,11,45,12,20,Skin Rash +  High Fever,"Impetigo, Typhoid, Chronic Cholestasis",1,7
Gerd,27,1,48,44,4,3,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Alcoholic Hepatitis, Chronic Cholestasis",6,7
Chronic Cholestasis,15,42,53,29,21,0,Vomiting +  Fatigue,"Hypoglycemia, Dimorphic Hemmorhoids(Piles), Heart Attack",0,7
Drug Reaction,15,35,44,5,28,20,Continuous Sneezing +  Chills,"Allergy, Hepatitis D, Tuberculosis",4,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Skin Rash +  High Fever,"Impetigo, Bronchial Asthma, Chicken Pox",0,7
Aids,18,30,24,15,12,20,Acidity +  Headache,"Migraine, Drug Reaction, Varicose Veins",3,7
Diabetes,11,46,39,24,17,1,Vomiting +  Sunken Eyes,"Gastroenteritis, Paralysis (Brain Hemorrhage), Acne",2,7
Gastroenteritis,29,38,16,10,12,20,Vomiting +  Breathlessness,"Heart Attack, Hypothyroidism, Allergy",6,7
Bronchial Asthma,11,11,24,4,10,19,Vomiting +  Sunken Eyes,"Gastroenteritis, Jaundice, Migraine",6,7
Hypertension,12,8,19,26,19,20,Chills +  Vomiting,"Typhoid, Allergy, Bronchial Asthma",9,7
Migraine,0,19,23,3,9,25,Muscle Weakness +  Stiff Neck,"Arthritis, Hepatitis D, Hepatitis C",6,7
Cervical Spondylosis,1,43,34,13,22,20,Fatigue +  Cough,"Bronchial Asthma, Alcoholic Hepatitis, Pneumonia",6,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Fatigue +  Yellowish Skin,"Hepatitis C, Chronic Cholestasis, Pneumonia",0,7
Jaundice,15,42,21,46,13,31,Chills +  Vomiting,"Malaria, Chronic Cholestasis, Hepatitis C",4,7
Malaria,6,42,24,40,12,20,Weakness In Limbs +  Neck Pain,"Cervical Spondylosis, Fungal Infection, Psoriasis",0,7
Chicken Pox,15,35,21,24,13,12,Indigestion +  Headache,"Migraine, Cervical Spondylosis, Peptic Ulcer Diseae",8,7
Dengue,25,9,26,44,11,13,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Impetigo, Heart Attack",8,7
Typhoid,6,42,21,19,12,20,Itching +  Fatigue,"Chicken Pox, Drug Reaction, (Vertigo) Paroymsal  Positional Vertigo",8,7
Hepatitis A,16,42,53,9,24,17,Fatigue +  Cough,"Bronchial Asthma, Allergy, Hypertension",6,7
Hepatitis B,15,15,28,49,5,17,Skin Rash +  Pus Filled Pimples,"Acne, Paralysis (Brain Hemorrhage), Bronchial Asthma",2,7
Hepatitis C,11,47,33,25,36,9,Chills +  Vomiting,"Tuberculosis, Hepatitis A, Diabetes",9,7
Hepatitis D,16,42,21,49,5,20,Vomiting +  Breathlessness,"Heart Attack, Aids, Gerd",6,7
Hepatitis E,16,42,21,19,37,5,Vomiting +  Fatigue,"Hypoglycemia, Chicken Pox, Impetigo",2,7
Alcoholic Hepatitis,29,47,0,42,7,14,Fatigue +  Weight Gain,"Hypothyroidism, Jaundice, Cervical Spondylosis",2,7
Tuberculosis,6,42,21,46,4,13,Headache +  Chest Pain,"Hypertension , Drug Reaction, Hepatitis B",7,7
Common Cold,8,9,21,8,13,12,Joint Pain +  Knee Pain,"Osteoarthristis, Peptic Ulcer Diseae, Urinary Tract Infection",2,7
Pneumonia,6,15,14,19,2,26,Fatigue +  Yellowish Skin,"Hepatitis C, Aids, Pneumonia",9,7
Dimorphic Hemmorhoids(Piles),7,28,37,2,18,20,Itching +  Skin Rash,"Chicken Pox, Hepatitis B, Hepatitis E",4,7
Heart Attack,29,6,45,6,12,20,Itching +  Skin Rash,"Drug Reaction, Hepatitis B, (Vertigo) Paroymsal  Positional Vertigo",9,7
Varicose Veins,11,12,8,30,33,28,Itching +  Skin Rash,"Fungal Infection, Chronic Cholestasis, Hepatitis D",6,7
Hypothyroidism,11,45,12,27,20,8,Itching +  Fatigue,"Hepatitis B, Hypothyroidism, Acne",1,7
Hyperthyroidism,11,24,52,34,30,7,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Bronchial Asthma, Typhoid",6,7
Hypoglycemia,29,15,2,40,12,20,Stomach Pain +  Acidity,"Gerd, Allergy, Urinary Tract Infection",3,7
Osteoarthristis,16,26,27,20,31,22,Chills +  Vomiting,"Malaria, Arthritis, Dengue",9,7
Arthritis,19,36,46,28,25,20,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Jaundice, Impetigo",9,7
(Vertigo) Paroymsal  Positional Vertigo,29,17,33,38,22,29,Fatigue +  Cramps,"Varicose Veins, Chicken Pox",3,7
Acne,25,31,3,35,12,20,Fatigue +  Weight Loss,"Diabetes , Acne, Dengue",1,7
Urinary Tract Infection,4,4,22,7,12,20,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Jaundice, Acne",7,7
Psoriasis,25,20,42,36,27,15,Vomiting +  Breathlessness,"Heart Attack, Malaria, (Vertigo) Paroymsal  Positional Vertigo",9,7
Impetigo,25,18,4,33,35,20,Vomiting +  Fatigue,"Jaundice, Hypoglycemia, Paralysis (Brain Hemorrhage)",0,7
Fungal Infection,15,35,35,11,12,20,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Heart Attack, Fungal Infection",8,7
Allergy,8,33,11,45,12,20,Vomiting +  Fatigue,"Hepatitis E, Migraine, Chicken Pox",6,7
Gerd,27,1,48,44,4,3,Joint Pain +  Vomiting,"Hepatitis E, Hepatitis D, Aids",1,7
Chronic Cholestasis,15,42,53,29,21,0,Vomiting +  Breathlessness,"Heart Attack, Hepatitis C, Psoriasis",3,7
Drug Reaction,15,35,44,5,28,20,Vomiting +  Sunken Eyes,"Gastroenteritis, Osteoarthristis, Dengue",4,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Weakness In Limbs +  Neck Pain,"Cervical Spondylosis, Hyperthyroidism, Tuberculosis",4,7
Aids,18,30,24,15,12,20,Skin Rash +  High Fever,"Impetigo, Pneumonia, Dengue",3,7
Diabetes,11,46,39,24,17,1,Fatigue +  Mood Swings,"Hyperthyroidism, Fungal Infection, Acne",7,7
Gastroenteritis,29,38,16,10,12,20,Stomach Pain +  Acidity,"Gerd, Jaundice, Psoriasis",5,7
Bronchial Asthma,11,11,24,4,10,19,Itching +  Skin Rash,"Drug Reaction, Chicken Pox, Peptic Ulcer Diseae",5,7
Hypertension,12,8,19,26,19,20,Vomiting +  Fatigue,"Hypoglycemia, Aids, Migraine",7,7
Migraine,0,19,23,3,9,25,Chills +  Vomiting,"Tuberculosis, Gastroenteritis, Varicose Veins",5,7
Cervical Spondylosis,1,43,34,13,22,20,Stomach Pain +  Acidity,"Gerd, Dimorphic Hemmorhoids(Piles), Drug Reaction",7,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Continuous Sneezing +  Chills,"Allergy, Malaria, Dimorphic Hemmorhoids(Piles)",7,7
Jaundice,15,42,21,46,13,31,Continuous Sneezing +  Shivering,"Allergy, (Vertigo) Paroymsal  Positional Vertigo, Hepatitis C",2,7
Malaria,6,42,24,40,12,20,Chills +  Vomiting,"Malaria, Bronchial Asthma, Osteoarthristis",5,7
Chicken Pox,15,35,21,24,13,12,Chills +  Vomiting,"Tuberculosis, Hepatitis C, Chronic Cholestasis",7,7
Dengue,25,9,26,44,11,13,Stomach Pain +  Acidity,"Gerd, Hepatitis B, Hepatitis E",0,7
Typhoid,6,42,21,19,12,20,Muscle Wasting +  Patches In Throat,"Aids, Urinary Tract Infection, Gerd",4,7
Hepatitis A,16,42,53,9,24,17,Continuous Sneezing +  Chills,"Common Cold, Drug Reaction, Hypothyroidism",4,7
Hepatitis B,15,15,28,49,5,17,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Diabetes , Common Cold",4,7
Hepatitis C,11,47,33,25,36,9,Back Pain +  Neck Pain,"Cervical Spondylosis, (Vertigo) Paroymsal  Positional Vertigo, Paralysis (Brain Hemorrhage)",1,7
Hepatitis D,16,42,21,49,5,20,Patches In Throat +  High Fever,"Aids, Gerd, Peptic Ulcer Diseae",6,7
Hepatitis E,16,42,21,19,37,5,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Chicken Pox, Arthritis",7,7
Alcoholic Hepatitis,29,47,0,42,7,14,Skin Rash +  Pus Filled Pimples,"Acne, Psoriasis, Chronic Cholestasis",4,7
Tuberculosis,6,42,21,46,4,13,Itching +  Skin Rash,"Chicken Pox, Peptic Ulcer Diseae, Hepatitis E",9,7
Common Cold,8,9,21,8,13,12,Skin Rash +  Pus Filled Pimples,"Acne, Hepatitis D, Tuberculosis",6,7
Pneumonia,6,15,14,19,2,26,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Common Cold, Drug Reaction",9,7
Dimorphic Hemmorhoids(Piles),7,28,37,2,18,20,Itching +  Skin Rash,"Fungal Infection, Tuberculosis, Psoriasis",6,7
Heart Attack,29,6,45,6,12,20,Itching +  Vomiting,"Chronic Cholestasis, Heart Attack, Peptic Ulcer Diseae",0,7
Varicose Veins,11,12,8,30,33,28,Headache +  Chest Pain,"Hypertension , Heart Attack, Urinary Tract Infection",1,7
Hypothyroidism,11,45,12,27,20,8,Vomiting +  Breathlessness,"Heart Attack, Arthritis, Peptic Ulcer Diseae",2,7
Hyperthyroidism,11,24,52,34,30,7,Vomiting +  Sunken Eyes,"Gastroenteritis, Chicken Pox, Peptic Ulcer Diseae",9,7
Hypoglycemia,29,15,2,40,12,20,Continuous Sneezing +  Chills,"Common Cold, Pneumonia",5,7
Osteoarthristis,16,26,27,20,31,22,Itching +  Vomiting,"Chronic Cholestasis, Heart Attack, Peptic Ulcer Diseae",1,7
Arthritis,19,36,46,28,25,20,Chills +  Fatigue,"Typhoid, Pneumonia, Gastroenteritis",6,7
(Vertigo) Paroymsal  Positional Vertigo,29,17,33,38,22,29,Itching +  Vomiting,"Jaundice, Pneumonia, Common Cold",6,7
Acne,25,31,3,35,12,20,Chills +  Vomiting,"Tuberculosis, Heart Attack, Impetigo",0,7
Urinary Tract Infection,4,4,22,7,12,20,Fatigue +  Mood Swings,"Hyperthyroidism, Migraine, Typhoid",6,7
Psoriasis,25,20,42,36,27,15,Vomiting +  Sunken Eyes,"Gastroenteritis, Urinary Tract Infection, Hyperthyroidism",9,7
Impetigo,25,18,4,33,35,20,Continuous Sneezing +  Chills,"Common Cold, Hepatitis A, Hypothyroidism",2,7
Fungal Infection,15,35,35,11,12,20,Vomiting +  Sunken Eyes,"Gastroenteritis, Chicken Pox, Acne",0,7
Allergy,8,33,11,45,12,20,Stomach Pain +  Acidity,"Gerd, Paralysis (Brain Hemorrhage), Hepatitis A",7,7
Gerd,27,1,48,44,4,3,Itching +  Skin Rash,"Fungal Infection, Tuberculosis, Hypertension",6,7
Chronic Cholestasis,15,42,53,29,21,0,Chills +  Vomiting,"Typhoid, Fungal Infection, Hepatitis B",5,7
Drug Reaction,15,35,44,5,28,20,Itching +  Fatigue,"Hepatitis B, Alcoholic Hepatitis, Allergy",8,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Urinary Tract Infection, Arthritis",6,7
Aids,18,30,24,15,12,20,Stomach Pain +  Acidity,"Gerd, Jaundice, Psoriasis",1,7
Diabetes,11,46,39,24,17,1,Skin Rash +  High Fever,"Impetigo, Alcoholic Hepatitis, (Vertigo) Paroymsal  Positional Vertigo",1,7
Gastroenteritis,29,38,16,10,12,20,Skin Rash +  High Fever,"Impetigo, Pneumonia, Hypertension",8,7
Bronchial Asthma,11,11,24,4,10,19,Vomiting +  Breathlessness,"Heart Attack, Hepatitis D, Psoriasis",0,7
Hypertension,12,8,19,26,19,20,Chills +  Vomiting,"Tuberculosis, Urinary Tract Infection, Psoriasis",6,7
Migraine,0,19,23,3,9,25,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Hepatitis D, Osteoarthristis",9,7
Cervical Spondylosis,1,43,34,13,22,20,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Bronchial Asthma, Osteoarthristis",1,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Chicken Pox, Hypertension",7,7
Jaundice,15,42,21,46,13,31,Fatigue +  Weight Loss,"Diabetes , Hepatitis C, Hepatitis E",6,7
Malaria,6,42,24,40,12,20,Vomiting +  Fatigue,"Tuberculosis, Hypoglycemia, Pneumonia",8,7
Chicken Pox,15,35,21,24,13,12,Fatigue +  Weight Gain,"Hypothyroidism, Impetigo, Drug Reaction",4,7
Dengue,25,9,26,44,11,13,Vomiting +  Fatigue,"Hypoglycemia, Psoriasis, Hepatitis D",1,7
Typhoid,6,42,21,19,12,20,Joint Pain +  Vomiting,"Hepatitis A, Hypothyroidism, Hypertension",8,7
Hepatitis A,16,42,53,9,24,17,Skin Rash +  Fatigue,"Chicken Pox, Heart Attack, Typhoid",1,7
Hepatitis B,15,15,28,49,5,17,Chills +  Vomiting,"Tuberculosis, Pneumonia, Hepatitis B",2,7
Hepatitis C,11,47,33,25,36,9,Itching +  Fatigue,"Hepatitis B, Drug Reaction, Dimorphic Hemmorhoids(Piles)",6,7
Hepatitis D,16,42,21,49,5,20,Continuous Sneezing +  Chills,"Common Cold, Acne, Tuberculosis",8,7
Hepatitis E,16,42,21,19,37,5,Stomach Pain +  Acidity,"Gerd, Aids, Fungal Infection",6,7
Alcoholic Hepatitis,29,47,0,42,7,14,Chills +  Vomiting,"Malaria, Dengue, Migraine",0,7
Tuberculosis,6,42,21,46,4,13,Vomiting +  Fatigue,"Hypoglycemia, Malaria, Hepatitis E",4,7
Common Cold,8,9,21,8,13,12,Skin Rash +  Chills,"Dengue, Hepatitis B, Hyperthyroidism",8,7
Pneumonia,6,15,14,19,2,26,Joint Pain +  Neck Pain,"Osteoarthristis, Impetigo, Hepatitis C",6,7
Dimorphic Hemmorhoids(Piles),7,28,37,2,18,20,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Urinary Tract Infection, Arthritis",4,7
Heart Attack,29,6,45,6,12,20,Vomiting +  Indigestion,"Peptic Ulcer Diseae, (Vertigo) Paroymsal  Positional Vertigo, Hepatitis E",5,7
Varicose Veins,11,12,8,30,33,28,Joint Pain +  Yellowish Skin,"Hepatitis A, Paralysis (Brain Hemorrhage)",0,7
Hypothyroidism,11,45,12,27,20,8,Joint Pain +  Vomiting,"Hepatitis E, Fungal Infection, Typhoid",8,7
Hyperthyroidism,11,24,52,34,30,7,Continuous Sneezing +  Shivering,"Allergy, Chicken Pox, Heart Attack",7,7
Hypoglycemia,29,15,2,40,12,20,Vomiting +  Headache,"Paralysis (Brain Hemorrhage), Drug Reaction, Bronchial Asthma",0,7
Osteoarthristis,16,26,27,20,31,22,Vomiting +  Breathlessness,"Heart Attack, Common Cold, Hepatitis C",0,7
Arthritis,19,36,46,28,25,20,Fatigue +  Weight Loss,"Diabetes , Varicose Veins, Hepatitis D",6,7
(Vertigo) Paroymsal  Positional Vertigo,29,17,33,38,22,29,Chills +  Fatigue,"Pneumonia, Peptic Ulcer Diseae, Hepatitis B",5,7
Acne,25,31,3,35,12,20,Vomiting +  Sunken Eyes,"Gastroenteritis, Hepatitis A, Malaria",7,7
Urinary Tract Infection,4,4,22,7,12,20,Constipation +  Pain In Anal Region,"Dimorphic Hemmorhoids(Piles), Hepatitis A, Peptic Ulcer Diseae",2,7
Psoriasis,25,20,42,36,27,15,Skin Rash +  Chills,"Dengue, Tuberculosis, Hepatitis A",0,7
Impetigo,25,18,4,33,35,20,Itching +  Vomiting,"Chronic Cholestasis, Arthritis, Acne",2,7
Fungal Infection,15,35,35,11,12,20,Fatigue +  Weight Loss,"Diabetes , Varicose Veins, Hepatitis D",0,7
Allergy,8,33,11,45,12,20,Skin Rash +  Pus Filled Pimples,"Acne, Urinary Tract Infection, Paralysis (Brain Hemorrhage)",2,7
Gerd,27,1,48,44,4,3,Skin Rash +  Pus Filled Pimples,"Acne, Hypertension , Urinary Tract Infection",6,7
Chronic Cholestasis,15,42,53,29,21,0,Itching +  Fatigue,"Hepatitis B, Jaundice, Chicken Pox",1,7
Drug Reaction,15,35,44,5,28,20,Chills +  Fatigue,"Pneumonia, Varicose Veins, Hypertension",9,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Skin Rash +  High Fever,"Impetigo, Jaundice, Gastroenteritis",5,7
Aids,18,30,24,15,12,20,Back Pain +  Neck Pain,"Cervical Spondylosis, Gastroenteritis, Jaundice",6,7
Diabetes,11,46,39,24,17,1,Itching +  Skin Rash,"Drug Reaction, (Vertigo) Paroymsal  Positional Vertigo, Fungal Infection",3,7
Gastroenteritis,29,38,16,10,12,20,Itching +  Skin Rash,"Fungal Infection, Heart Attack, Diabetes",2,7
Bronchial Asthma,11,11,24,4,10,19,Continuous Sneezing +  Chills,"Common Cold, Hypertension , Malaria",8,7
Hypertension,12,8,19,26,19,20,Vomiting +  Fatigue,"Hypoglycemia, Typhoid, (Vertigo) Paroymsal  Positional Vertigo",0,7
Migraine,0,19,23,3,9,25,Continuous Sneezing +  Shivering,"Allergy, Cervical Spondylosis, Chronic Cholestasis",1,7
Cervical Spondylosis,1,43,34,13,22,20,Joint Pain +  Neck Pain,"Osteoarthristis, Aids, Hypothyroidism",1,7
Paralysis (Brain Hemorrhage),29,17,51,1,12,20,Skin Rash +  Pus Filled Pimples,"Acne, Chronic Cholestasis, Diabetes",5,7
Jaundice,15,42,21,46,13,31,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Typhoid, Allergy",4,7
Malaria,6,42,24,40,12,20,Fatigue +  Cramps,"Varicose Veins, Arthritis, Hypothyroidism",1,7
Chicken Pox,15,35,21,24,13,12,Continuous Sneezing +  Chills,"Common Cold, Hepatitis D, Hepatitis C",7,7
Dengue,25,9,26,44,11,13,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Typhoid",4,7
Typhoid,6,42,21,19,12,20,Pain During Bowel Movements +  Pain In Anal Region,"Dimorphic Hemmorhoids(Piles), Osteoarthristis, Diabetes",0,7
Hepatitis A,16,42,53,9,24,17,Acidity +  Indigestion,"Migraine, Fungal Infection",1,7
Hepatitis B,15,15,28,49,5,17,Joint Pain +  Neck Pain,"Osteoarthristis, Heart Attack, Fungal Infection",1,7
Hepatitis C,11,47,33,25,36,9,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Common Cold, Diabetes",0,7
Hepatitis D,16,42,21,49,5,20,Muscle Weakness +  Stiff Neck,"Arthritis, Acne, Drug Reaction",8,7
Hepatitis E,16,42,21,19,37,5,Muscle Wasting +  Patches In Throat,"Aids, Hepatitis C, Fungal Infection",3,7
Alcoholic Hepatitis,29,47,0,42,7,14,Stomach Pain +  Acidity,"Gerd, Cervical Spondylosis, Tuberculosis",3,7
Tuberculosis,6,42,21,46,4,13,Skin Rash +  Joint Pain,"Psoriasis, Arthritis, Gastroenteritis",5,7
Common Cold,8,9,21,8,13,12,Skin Rash +  Chills,"Dengue, (Vertigo) Paroymsal  Positional Vertigo, Allergy",7,7
Pneumonia,6,15,14,19,2,26,Constipation +  Pain During Bowel Movements,"Dimorphic Hemmorhoids(Piles), Pneumonia, Hypertension",3,7
Dimorphic Hemmorhoids(Piles),7,28,37,2,18,20,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Aids",5,7
Heart Attack,29,6,45,6,12,20,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Pneumonia, Aids",0,7
Varicose Veins,11,12,8,30,33,28,Vomiting +  Indigestion,"Peptic Ulcer Diseae, Gastroenteritis, Hyperthyroidism",4,7
Hypothyroidism,11,45,12,27,20,8,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Hyperthyroidism, Psoriasis",5,7
Hyperthyroidism,11,24,52,34,30,7,Acidity +  Indigestion,"Migraine, Osteoarthristis, Allergy",8,7
Hypoglycemia,29,15,2,40,12,20,Chills +  Vomiting,"Typhoid, Alcoholic Hepatitis, (Vertigo) Paroymsal  Positional Vertigo",6,7
Osteoarthristis,16,26,27,20,31,22,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Acne, Hepatitis E",1,7
Arthritis,19,36,46,28,25,20,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Bronchial Asthma, Drug Reaction",3,7
(Vertigo) Paroymsal  Positional Vertigo,29,17,33,38,22,29,Back Pain +  Weakness In Limbs,"Cervical Spondylosis, Paralysis (Brain Hemorrhage), Diabetes",6,7
Acne,25,31,3,35,12,20,Fatigue +  Cramps,"Varicose Veins, Alcoholic Hepatitis, Acne",4,7
Urinary Tract Infection,4,4,22,7,12,20,Vomiting +  Fatigue,"Hypoglycemia, Hepatitis B, Arthritis",4,7
Psoriasis,25,20,42,36,27,15,Fatigue +  Cough,"Pneumonia, Acne, Migraine",2,7
Impetigo,25,18,4,33,35,20,Vomiting +  Yellowish Skin,"Alcoholic Hepatitis, Diabetes , Varicose Veins",7,7
Fungal Infection,15,35,35,11,12,20,Itching +  Skin Rash,"Drug Reaction, Tuberculosis, Psoriasis",5,7
Allergy,8,33,11,45,12,20,Vomiting +  Headache,"(Vertigo) Paroymsal  Positional Vertigo, Urinary Tract Infection",5,7
Gerd,27,1,48,44,4,3,Itching +  Fatigue,"Hepatitis B, Hepatitis C, Acne",5,7
Chronic Cholestasis,15,42,53,29,21,0,Chills +  Vomiting,"Typhoid, Hyperthyroidism, Diabetes",4,7
Drug Reaction,15,35,44,5,28,20,Burning Micturition +  Bladder Discomfort,"Urinary Tract Infection, Chronic Cholestasis, Acne",6,7
Peptic Ulcer Diseae,29,19,29,0,26,16,Acidity +  Indigestion,"Migraine, Heart Attack, Urinary Tract Infection",3,7
Aids,18,30,24,15,12,20,Vomiting +  Breathlessness,"Heart Attack, Alcoholic Hepatitis, Dengue",5,7
Diabetes,11,46,39,24,17,1,Muscle Wasting +  Patches In Throat,"Aids, Gastroenteritis, (Vertigo) Paroymsal  Positional Vertigo",4,7
Gastroenteritis,29,38,16,10,12,20,Neck Pain +  Knee Pain,"Osteoarthristis, Hypertension , Hyperthyroidism",5,7
Bronchial Asthma,11,11,24,4,10,19,Chills +  Fatigue,"Tuberculosis, Hypothyroidism, Diabetes",6,7
Hypertension,12,8,19,26,19,20,Indigestion +  Loss Of Appetite,"Peptic Ulcer Diseae, Acne, Varicose Veins",1,7
